Distance_km,Passengers,Nominal_L_per_100km,Duration_min,Vehicle_Type_Bus,Vehicle_Type_SUV,Vehicle_Type_Sedan,Vehicle_Type_Van
-0.22132547248973658,-0.3458369769424627,0.7441941134064848,0.17247583564364377,0,0,0,1
-0.5655867872968361,-0.45620020704895675,-0.7758743754516351,-0.5075442688350662,0,0,1,0
-0.5510048163197399,-0.5665634371554509,-0.8716267212064773,-0.4121156307132548,0,0,1,0
-1.1361856516179953,-0.3458369769424627,-0.44552878259742956,-0.9664758872834723,0,0,1,0
-0.2885293387320066,-0.3458369769424627,-1.3120875116787514,-0.713699265693636,0,0,1,0
0.5749769426073476,0.5370688639094903,2.7262676705317173,0.6354139999673932,1,0,0,0
1.2153156681233153,-0.5665634371554509,-1.070312838647775,0.9187860627871233,0,0,1,0
0.35054138930769185,-0.676926667261945,-0.5173430419135612,0.65071172058234,0,0,1,0
-0.5028209122215086,-0.23547374683596853,0.17686146480904458,-0.019109903486405108,0,0,0,1
-0.36524318604629585,2.7443334660393726,1.1870487125226297,0.2558848361394255,1,0,0,0
0.27446154073153733,-0.12511051672947443,-0.01703703534451097,0.717366074690323,0,0,0,1
-1.1260416718078412,-0.676926667261945,-0.7543300976567956,-1.0884934207598342,0,0,1,0
-1.0588378055655714,-0.676926667261945,-1.0463747522090643,-1.3026615093690905,0,0,1,0
-0.6315226560628366,-0.12511051672947443,-0.1774222144838716,-0.27662153383801086,0,1,0,0
-0.19216153053554416,2.523607005826384,2.599395812406552,-0.030401078226008838,1,0,0,0
-1.419583087564171,-0.014747286622980312,-0.30190026396516634,-0.959555489862425,0,1,0,0
-0.9092141033658009,-0.12511051672947443,-0.10800176381161081,-0.7934659517572874,0,1,0,0
-0.012105888905311706,-0.23547374683596853,-0.23247981329290554,0.20452820264638943,0,1,0,0
-1.2553774143873042,-0.014747286622980312,-0.15827174533290317,-1.223987517635078,0,1,0,0
-1.1228716781171684,-0.45620020704895675,-0.8333257829045404,-1.1107115387958286,0,0,1,0
-0.9929019367995708,-0.676926667261945,-0.0625193995780609,-0.8444583538071104,0,1,0,0
-0.6334246522772405,3.296149616571843,2.704723392736878,-0.0045406457578843285,1,0,0,0
-0.42357106995468086,-0.5665634371554509,-1.0224366657703536,-0.6211844791175287,0,0,1,0
-0.7862183481676843,-0.45620020704895675,-0.7064539247793744,-0.8706830177184479,0,0,1,0
-1.0601058030418407,3.185786386465349,1.9817931822878196,-0.8965434501865723,1,0,0,0
-0.9016061185081854,-0.23547374683596853,1.0458140025342375,-0.8440941223638974,0,0,0,1
0.9820041324897746,-0.45620020704895675,-0.5125554246258192,1.2797394230112273,0,1,0,0
